issuekey_A,issuekey_B,f_A,f_B,P_AB,GT_A,GT_B,GT_AB,status,dataset
DURACLOUD-787,DM-5278,3.0,3.0,0.0,1.0,6.0,-1.0,tie,duracloud
DURACLOUD-788,TDQ-6167,3.0,3.0,0.0,2.0,8.0,-1.0,tie,duracloud
DURACLOUD-790,MULE-8201,8.0,3.0,1.0,2.0,3.0,-1.0,valid,duracloud
DURACLOUD-794,DM-3172,3.0,3.0,0.0,1.0,14.0,-1.0,tie,duracloud
DURACLOUD-796,MESOS-4292,3.0,5.0,-1.0,2.0,3.0,-1.0,valid,duracloud
DURACLOUD-798,APSTUD-4384,5.0,3.0,1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-800,XD-487,5.0,5.0,0.0,1.0,4.0,-1.0,tie,duracloud
DURACLOUD-801,TDQ-11350,3.0,1.0,1.0,1.0,2.0,-1.0,valid,duracloud
DURACLOUD-802,MESOS-3182,2.0,2.0,0.0,1.0,3.0,-1.0,tie,duracloud
DURACLOUD-803,USERGRID-493,5.0,3.0,1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-804,TDQ-5853,8.0,5.0,1.0,5.0,8.0,-1.0,valid,duracloud
DURACLOUD-805,XD-1935,3.0,5.0,-1.0,1.0,4.0,-1.0,valid,duracloud
DURACLOUD-806,XD-608,3.0,2.0,1.0,3.0,1.0,1.0,valid,duracloud
DURACLOUD-808,MESOS-5109,5.0,3.0,1.0,3.0,2.0,1.0,valid,duracloud
DURACLOUD-809,MESOS-5178,2.0,5.0,-1.0,1.0,2.0,-1.0,valid,duracloud
DURACLOUD-810,TISTUD-6181,5.0,3.0,1.0,1.0,8.0,-1.0,valid,duracloud
DURACLOUD-811,MDL-41128,3.0,3.0,0.0,1.0,4.0,-1.0,tie,duracloud
DURACLOUD-813,XD-357,5.0,3.0,1.0,3.0,4.0,-1.0,valid,duracloud
DURACLOUD-823,DM-5728,5.0,5.0,0.0,4.0,5.0,-1.0,tie,duracloud
DURACLOUD-824,TIMOB-8743,5.0,5.0,0.0,3.0,2.0,1.0,tie,duracloud
DURACLOUD-825,TISTUD-6909,5.0,2.0,1.0,2.0,3.0,-1.0,valid,duracloud
DURACLOUD-826,TDQ-4913,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-827,TDQ-6356,3.0,5.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-828,MESOS-4360,2.0,3.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-831,DM-3137,5.0,8.0,-1.0,2.0,1.0,1.0,valid,duracloud
DURACLOUD-832,TIMOB-19964,2.0,5.0,-1.0,1.0,8.0,-1.0,valid,duracloud
DURACLOUD-833,STUDIO-6949,3.0,3.0,0.0,1.0,8.0,-1.0,tie,duracloud
DURACLOUD-837,TISTUD-7689,3.0,3.0,0.0,1.0,3.0,-1.0,tie,duracloud
DURACLOUD-838,DM-4771,5.0,2.0,1.0,1.0,2.0,-1.0,valid,duracloud
DURACLOUD-839,STUDIO-2763,5.0,5.0,0.0,1.0,5.0,-1.0,tie,duracloud
DURACLOUD-841,DM-5537,8.0,3.0,1.0,2.0,8.0,-1.0,valid,duracloud
DURACLOUD-842,TDQ-5750,5.0,2.0,1.0,1.0,8.0,-1.0,valid,duracloud
DURACLOUD-843,TIMOB-17636,3.0,3.0,0.0,2.0,3.0,-1.0,tie,duracloud
DURACLOUD-844,TISTUD-3146,3.0,8.0,-1.0,2.0,8.0,-1.0,valid,duracloud
DURACLOUD-846,CLOV-1552,3.0,8.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-847,TISTUD-7233,5.0,8.0,-1.0,1.0,8.0,-1.0,valid,duracloud
DURACLOUD-848,TISTUD-5796,8.0,3.0,1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-851,APSTUD-4993,2.0,2.0,0.0,1.0,3.0,-1.0,tie,duracloud
DURACLOUD-857,MDL-46131,5.0,3.0,1.0,3.0,8.0,-1.0,valid,duracloud
DURACLOUD-858,TIMOB-17898,3.0,5.0,-1.0,2.0,13.0,-1.0,valid,duracloud
DURACLOUD-859,JSW-6432,3.0,5.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-860,DM-594,5.0,5.0,0.0,2.0,6.0,-1.0,tie,duracloud
DURACLOUD-861,DM-6206,8.0,13.0,-1.0,2.0,8.0,-1.0,valid,duracloud
DURACLOUD-862,TDQ-5634,13.0,5.0,1.0,3.0,2.0,1.0,valid,duracloud
DURACLOUD-863,DM-4448,5.0,8.0,-1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-864,USERGRID-1272,13.0,3.0,1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-865,MESOS-2199,5.0,5.0,0.0,5.0,2.0,1.0,tie,duracloud
DURACLOUD-866,MDL-42934,3.0,3.0,0.0,1.0,5.0,-1.0,tie,duracloud
DURACLOUD-867,MESOS-2085,5.0,13.0,-1.0,1.0,13.0,-1.0,valid,duracloud
DURACLOUD-868,TIMOB-17361,5.0,3.0,1.0,3.0,21.0,-1.0,valid,duracloud
DURACLOUD-869,XD-3748,8.0,5.0,1.0,2.0,1.0,1.0,valid,duracloud
DURACLOUD-873,TIMOB-19701,2.0,8.0,-1.0,3.0,13.0,-1.0,valid,duracloud
DURACLOUD-874,XD-1046,3.0,3.0,0.0,1.0,4.0,-1.0,tie,duracloud
DURACLOUD-876,DM-5864,3.0,8.0,-1.0,1.0,10.0,-1.0,valid,duracloud
DURACLOUD-877,TISTUD-1954,5.0,1.0,1.0,3.0,2.0,1.0,valid,duracloud
DURACLOUD-879,MDL-41438,5.0,5.0,0.0,1.0,2.0,-1.0,tie,duracloud
DURACLOUD-880,CLOV-1141,3.0,5.0,-1.0,1.0,13.0,-1.0,valid,duracloud
DURACLOUD-881,MDL-43714,5.0,1.0,1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-882,TISTUD-5523,5.0,5.0,0.0,3.0,8.0,-1.0,tie,duracloud
DURACLOUD-884,TDQ-4853,5.0,3.0,1.0,3.0,5.0,-1.0,valid,duracloud
DURACLOUD-885,TIMOB-19572,3.0,1.0,1.0,1.0,2.0,-1.0,valid,duracloud
DURACLOUD-886,DM-3021,13.0,5.0,1.0,8.0,4.0,1.0,valid,duracloud
DURACLOUD-887,MDL-49523,8.0,2.0,1.0,3.0,5.0,-1.0,valid,duracloud
DURACLOUD-888,MESOS-4865,2.0,5.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-890,APSTUD-4845,3.0,8.0,-1.0,1.0,13.0,-1.0,valid,duracloud
DURACLOUD-894,TISTUD-6891,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-895,TESB-10398,5.0,8.0,-1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-896,DM-2789,8.0,8.0,0.0,2.0,3.0,-1.0,tie,duracloud
DURACLOUD-897,USERGRID-787,5.0,5.0,0.0,2.0,3.0,-1.0,tie,duracloud
DURACLOUD-898,XD-2884,3.0,3.0,0.0,1.0,3.0,-1.0,tie,duracloud
DURACLOUD-903,DM-1864,3.0,8.0,-1.0,1.0,10.0,-1.0,valid,duracloud
DURACLOUD-904,MESOS-3762,5.0,5.0,0.0,1.0,3.0,-1.0,tie,duracloud
DURACLOUD-910,TISTUD-2792,5.0,3.0,1.0,1.0,8.0,-1.0,valid,duracloud
DURACLOUD-911,MESOS-4036,5.0,2.0,1.0,2.0,1.0,1.0,valid,duracloud
DURACLOUD-912,TISTUD-2400,3.0,3.0,0.0,1.0,5.0,-1.0,tie,duracloud
DURACLOUD-914,MDL-47260,1.0,2.0,-1.0,1.0,8.0,-1.0,valid,duracloud
DURACLOUD-915,XD-63,5.0,2.0,1.0,1.0,2.0,-1.0,valid,duracloud
DURACLOUD-916,BAM-4673,3.0,5.0,-1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-917,TIMOB-12235,2.0,8.0,-1.0,1.0,15.0,-1.0,valid,duracloud
DURACLOUD-919,DM-2306,1.0,8.0,-1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-923,TISTUD-1166,8.0,3.0,1.0,3.0,13.0,-1.0,valid,duracloud
DURACLOUD-924,TDQ-10381,3.0,5.0,-1.0,1.0,13.0,-1.0,valid,duracloud
DURACLOUD-928,TIMOB-19956,3.0,5.0,-1.0,1.0,8.0,-1.0,valid,duracloud
DURACLOUD-929,DM-4763,3.0,12.0,-1.0,1.0,12.0,-1.0,valid,duracloud
DURACLOUD-930,TISTUD-6505,5.0,2.0,1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-935,APSTUD-4377,5.0,2.0,1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-936,TDQ-7692,5.0,3.0,1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-939,TISTUD-1283,3.0,3.0,0.0,1.0,5.0,-1.0,tie,duracloud
DURACLOUD-940,XD-2269,5.0,3.0,1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-941,TISTUD-5872,2.0,5.0,-1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-942,XD-3076,8.0,3.0,1.0,2.0,1.0,1.0,valid,duracloud
DURACLOUD-946,DM-5339,5.0,3.0,1.0,5.0,6.0,-1.0,valid,duracloud
DURACLOUD-949,STUDIO-2000,8.0,2.0,1.0,2.0,21.0,-1.0,valid,duracloud
DURACLOUD-950,MDL-43761,5.0,5.0,0.0,3.0,8.0,-1.0,tie,duracloud
DURACLOUD-951,TISTUD-2969,5.0,3.0,1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-952,TIMOB-18879,5.0,3.0,1.0,2.0,8.0,-1.0,valid,duracloud
DURACLOUD-954,TISTUD-5439,5.0,5.0,0.0,1.0,5.0,-1.0,tie,duracloud
DURACLOUD-957,MESOS-3288,3.0,8.0,-1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-959,TISTUD-7039,3.0,3.0,0.0,3.0,8.0,-1.0,tie,duracloud
DURACLOUD-961,MULE-8075,3.0,8.0,-1.0,1.0,13.0,-1.0,valid,duracloud
DURACLOUD-962,MESOS-5027,3.0,8.0,-1.0,1.0,2.0,-1.0,valid,duracloud
DURACLOUD-965,DM-2387,5.0,1.0,1.0,3.0,1.0,1.0,valid,duracloud
DURACLOUD-966,MESOS-3579,8.0,5.0,1.0,3.0,2.0,1.0,valid,duracloud
DURACLOUD-967,TISTUD-6449,5.0,2.0,1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-968,XD-2093,13.0,5.0,1.0,2.0,3.0,-1.0,valid,duracloud
DURACLOUD-969,USERGRID-675,5.0,8.0,-1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-971,MESOS-1862,3.0,5.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-972,APSTUD-4587,3.0,3.0,0.0,3.0,13.0,-1.0,tie,duracloud
DURACLOUD-974,TESB-1311,8.0,3.0,1.0,3.0,1.0,1.0,valid,duracloud
DURACLOUD-975,TDQ-8360,2.0,8.0,-1.0,1.0,13.0,-1.0,valid,duracloud
DURACLOUD-978,XD-1947,1.0,3.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-980,TDQ-6232,5.0,8.0,-1.0,2.0,13.0,-1.0,valid,duracloud
DURACLOUD-983,DM-4354,5.0,2.0,1.0,2.0,1.0,1.0,valid,duracloud
DURACLOUD-984,MDL-10115,5.0,3.0,1.0,3.0,13.0,-1.0,valid,duracloud
DURACLOUD-986,TESB-1600,5.0,5.0,0.0,2.0,1.0,1.0,tie,duracloud
DURACLOUD-987,TISTUD-1950,5.0,5.0,0.0,2.0,8.0,-1.0,tie,duracloud
DURACLOUD-988,XD-3386,8.0,5.0,1.0,5.0,1.0,1.0,valid,duracloud
DURACLOUD-989,MDL-44478,5.0,2.0,1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-991,USERGRID-16,5.0,8.0,-1.0,2.0,3.0,-1.0,valid,duracloud
DURACLOUD-992,TESB-13056,3.0,8.0,-1.0,2.0,8.0,-1.0,valid,duracloud
DURACLOUD-993,TESB-10950,5.0,5.0,0.0,1.0,3.0,-1.0,tie,duracloud
DURACLOUD-994,XD-3434,2.0,5.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-995,XD-3649,8.0,8.0,0.0,3.0,8.0,-1.0,tie,duracloud
DURACLOUD-997,TISTUD-775,2.0,2.0,0.0,2.0,1.0,1.0,tie,duracloud
DURACLOUD-998,TDQ-3389,5.0,5.0,0.0,2.0,40.0,-1.0,tie,duracloud
DURACLOUD-1000,STUDIO-5136,8.0,21.0,-1.0,2.0,13.0,-1.0,valid,duracloud
DURACLOUD-1001,TIMOB-17586,5.0,2.0,1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-1003,XD-1430,2.0,3.0,-1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-1004,TISTUD-1543,2.0,1.0,1.0,1.0,8.0,-1.0,valid,duracloud
DURACLOUD-1005,TIMOB-4388,3.0,2.0,1.0,1.0,2.0,-1.0,valid,duracloud
DURACLOUD-1006,MULE-8025,8.0,5.0,1.0,4.0,1.0,1.0,valid,duracloud
DURACLOUD-1007,TDQ-4775,5.0,1.0,1.0,1.0,2.0,-1.0,valid,duracloud
DURACLOUD-1008,MULE-8939,5.0,8.0,-1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-1009,XD-427,3.0,2.0,1.0,2.0,1.0,1.0,valid,duracloud
DURACLOUD-1013,DM-5163,3.0,5.0,-1.0,2.0,4.0,-1.0,valid,duracloud
DURACLOUD-1015,DM-6010,5.0,1.0,1.0,2.0,15.0,-1.0,valid,duracloud
DURACLOUD-1016,XD-2516,5.0,5.0,0.0,2.0,3.0,-1.0,tie,duracloud
DURACLOUD-1017,TDQ-12269,2.0,40.0,-1.0,1.0,2.0,-1.0,valid,duracloud
DURACLOUD-1018,TIMOB-19292,3.0,13.0,-1.0,2.0,13.0,-1.0,valid,duracloud
DURACLOUD-1019,MESOS-3118,2.0,3.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-1020,DM-6519,5.0,3.0,1.0,2.0,1.0,1.0,valid,duracloud
DURACLOUD-1021,MDL-39737,5.0,5.0,0.0,2.0,20.0,-1.0,tie,duracloud
DURACLOUD-1024,XD-1587,5.0,5.0,0.0,1.0,2.0,-1.0,tie,duracloud
DURACLOUD-1027,XD-1628,3.0,5.0,-1.0,5.0,6.0,-1.0,valid,duracloud
DURACLOUD-1028,TIMOB-23598,5.0,5.0,0.0,2.0,3.0,-1.0,tie,duracloud
DURACLOUD-1029,MESOS-5303,5.0,5.0,0.0,2.0,3.0,-1.0,tie,duracloud
DURACLOUD-1042,DM-6410,1.0,3.0,-1.0,1.0,10.0,-1.0,valid,duracloud
DURACLOUD-1045,STUDIO-4442,5.0,8.0,-1.0,2.0,8.0,-1.0,valid,duracloud
DURACLOUD-1046,BAM-5244,2.0,8.0,-1.0,1.0,3.0,-1.0,valid,duracloud
DURACLOUD-1048,TISTUD-6283,2.0,3.0,-1.0,1.0,5.0,-1.0,valid,duracloud
DURACLOUD-1050,DM-4095,8.0,5.0,1.0,3.0,1.0,1.0,valid,duracloud
DURACLOUD-1051,XD-3557,3.0,5.0,-1.0,2.0,5.0,-1.0,valid,duracloud
DURACLOUD-1053,TIMOB-23595,8.0,3.0,1.0,1.0,3.0,-1.0,valid,duracloud
JSW-1271,TISTUD-2059,5.0,5.0,0.0,5.0,13.0,-1.0,tie,jirasoftware_filtered
JSW-1681,MDL-36011,3.0,5.0,-1.0,5.0,3.0,1.0,valid,jirasoftware_filtered
JSW-1819,TIMOB-19253,2.0,2.0,0.0,2.0,1.0,1.0,tie,jirasoftware_filtered
JSW-1882,TISTUD-87,2.0,3.0,-1.0,20.0,1.0,1.0,valid,jirasoftware_filtered
JSW-2047,DURACLOUD-272,5.0,1.0,1.0,5.0,1.0,1.0,valid,jirasoftware_filtered
JSW-2478,TISTUD-37,5.0,5.0,0.0,13.0,1.0,1.0,tie,jirasoftware_filtered
JSW-2785,DM-4596,8.0,3.0,1.0,13.0,1.0,1.0,valid,jirasoftware_filtered
JSW-2863,MESOS-3226,5.0,5.0,0.0,3.0,5.0,-1.0,tie,jirasoftware_filtered
JSW-2881,DM-5056,3.0,2.0,1.0,2.0,9.0,-1.0,valid,jirasoftware_filtered
JSW-2882,TIMOB-19016,2.0,5.0,-1.0,5.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-2912,TISTUD-2214,5.0,2.0,1.0,8.0,3.0,1.0,valid,jirasoftware_filtered
JSW-2915,MESOS-5943,2.0,5.0,-1.0,2.0,3.0,-1.0,valid,jirasoftware_filtered
JSW-2919,TISTUD-5659,3.0,5.0,-1.0,5.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-2923,DM-2695,3.0,13.0,-1.0,2.0,20.0,-1.0,valid,jirasoftware_filtered
JSW-2987,DM-1296,3.0,8.0,-1.0,8.0,10.0,-1.0,valid,jirasoftware_filtered
JSW-2989,TISTUD-4003,5.0,5.0,0.0,2.0,5.0,-1.0,tie,jirasoftware_filtered
JSW-2994,XD-400,3.0,3.0,0.0,3.0,1.0,1.0,tie,jirasoftware_filtered
JSW-2998,MESOS-2062,5.0,3.0,1.0,5.0,3.0,1.0,valid,jirasoftware_filtered
JSW-3003,DM-4931,3.0,5.0,-1.0,5.0,2.0,1.0,valid,jirasoftware_filtered
JSW-3006,XD-3063,3.0,5.0,-1.0,5.0,3.0,1.0,valid,jirasoftware_filtered
JSW-3011,BAM-14118,5.0,3.0,1.0,5.0,3.0,1.0,valid,jirasoftware_filtered
JSW-3017,TIMOB-19394,5.0,3.0,1.0,5.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-3020,TESB-10209,3.0,13.0,-1.0,2.0,5.0,-1.0,valid,jirasoftware_filtered
JSW-3029,MESOS-4002,5.0,5.0,0.0,8.0,1.0,1.0,tie,jirasoftware_filtered
JSW-3030,CLOV-1515,8.0,2.0,1.0,5.0,1.0,1.0,valid,jirasoftware_filtered
JSW-3050,DM-3881,5.0,5.0,0.0,5.0,2.0,1.0,tie,jirasoftware_filtered
JSW-3065,DURACLOUD-133,5.0,8.0,-1.0,8.0,1.0,1.0,valid,jirasoftware_filtered
JSW-3066,TISTUD-6201,5.0,5.0,0.0,5.0,8.0,-1.0,tie,jirasoftware_filtered
JSW-3070,DM-4426,1.0,5.0,-1.0,1.0,30.0,-1.0,valid,jirasoftware_filtered
JSW-3093,MDL-52272,8.0,1.0,1.0,8.0,1.0,1.0,valid,jirasoftware_filtered
JSW-3097,DM-6218,2.0,5.0,-1.0,3.0,10.0,-1.0,valid,jirasoftware_filtered
JSW-3099,XD-1706,5.0,3.0,1.0,3.0,1.0,1.0,valid,jirasoftware_filtered
JSW-3104,MULE-8620,3.0,13.0,-1.0,3.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-3106,DM-3371,1.0,13.0,-1.0,1.0,4.0,-1.0,valid,jirasoftware_filtered
JSW-3107,TISTUD-7486,1.0,5.0,-1.0,2.0,5.0,-1.0,valid,jirasoftware_filtered
JSW-3108,MDL-46801,1.0,5.0,-1.0,1.0,13.0,-1.0,valid,jirasoftware_filtered
JSW-3110,TISTUD-2388,2.0,3.0,-1.0,3.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-3132,TESB-369,3.0,5.0,-1.0,3.0,5.0,-1.0,valid,jirasoftware_filtered
JSW-3146,STUDIO-4000,8.0,3.0,1.0,5.0,3.0,1.0,valid,jirasoftware_filtered
JSW-3161,XD-849,3.0,3.0,0.0,1.0,2.0,-1.0,tie,jirasoftware_filtered
JSW-3772,MESOS-5256,3.0,8.0,-1.0,2.0,3.0,-1.0,valid,jirasoftware_filtered
JSW-3993,TISTUD-7677,2.0,5.0,-1.0,2.0,5.0,-1.0,valid,jirasoftware_filtered
JSW-4171,TISTUD-1347,5.0,5.0,0.0,2.0,5.0,-1.0,tie,jirasoftware_filtered
JSW-4478,TISTUD-1419,3.0,8.0,-1.0,2.0,13.0,-1.0,valid,jirasoftware_filtered
JSW-4503,TIMOB-18530,5.0,13.0,-1.0,8.0,13.0,-1.0,valid,jirasoftware_filtered
JSW-4520,TISTUD-7726,5.0,5.0,0.0,1.0,3.0,-1.0,tie,jirasoftware_filtered
JSW-4521,DM-4192,3.0,1.0,1.0,1.0,2.0,-1.0,valid,jirasoftware_filtered
JSW-4547,XD-2126,3.0,5.0,-1.0,2.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-4559,MDL-47243,2.0,3.0,-1.0,2.0,20.0,-1.0,valid,jirasoftware_filtered
JSW-4633,TIMOB-20505,3.0,5.0,-1.0,3.0,13.0,-1.0,valid,jirasoftware_filtered
JSW-4655,MESOS-4614,3.0,5.0,-1.0,8.0,3.0,1.0,valid,jirasoftware_filtered
JSW-4657,TISTUD-1350,8.0,3.0,1.0,8.0,13.0,-1.0,valid,jirasoftware_filtered
JSW-4659,CLOV-1132,2.0,3.0,-1.0,2.0,4.0,-1.0,valid,jirasoftware_filtered
JSW-4662,MULE-8326,3.0,5.0,-1.0,5.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-4679,TDQ-5715,3.0,8.0,-1.0,2.0,13.0,-1.0,valid,jirasoftware_filtered
JSW-4710,DURACLOUD-471,5.0,3.0,1.0,5.0,2.0,1.0,valid,jirasoftware_filtered
JSW-4711,DM-2646,3.0,3.0,0.0,2.0,1.0,1.0,tie,jirasoftware_filtered
JSW-4734,XD-2368,2.0,5.0,-1.0,5.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-4765,DM-2768,13.0,13.0,0.0,8.0,10.0,-1.0,tie,jirasoftware_filtered
JSW-4766,XD-2728,8.0,5.0,1.0,8.0,3.0,1.0,valid,jirasoftware_filtered
JSW-4767,DM-1164,3.0,8.0,-1.0,8.0,4.0,1.0,valid,jirasoftware_filtered
JSW-4768,MDL-41275,13.0,3.0,1.0,13.0,8.0,1.0,valid,jirasoftware_filtered
JSW-4772,USERGRID-30,3.0,5.0,-1.0,13.0,3.0,1.0,valid,jirasoftware_filtered
JSW-4773,MESOS-2756,2.0,2.0,0.0,5.0,1.0,1.0,tie,jirasoftware_filtered
JSW-4774,TIMOB-18622,5.0,2.0,1.0,13.0,3.0,1.0,valid,jirasoftware_filtered
JSW-4775,DM-1273,5.0,13.0,-1.0,20.0,56.0,-1.0,valid,jirasoftware_filtered
JSW-4776,TISTUD-5673,5.0,2.0,1.0,13.0,5.0,1.0,valid,jirasoftware_filtered
JSW-4792,TIMOB-20282,3.0,3.0,0.0,2.0,5.0,-1.0,tie,jirasoftware_filtered
JSW-4794,MESOS-1586,3.0,8.0,-1.0,2.0,3.0,-1.0,valid,jirasoftware_filtered
JSW-4812,XD-1037,1.0,8.0,-1.0,8.0,15.0,-1.0,valid,jirasoftware_filtered
JSW-4813,MULE-7063,3.0,1.0,1.0,5.0,2.0,1.0,valid,jirasoftware_filtered
JSW-4862,TISTUD-3513,5.0,8.0,-1.0,5.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-4863,MESOS-3129,5.0,3.0,1.0,20.0,2.0,1.0,valid,jirasoftware_filtered
JSW-4864,TDQ-5739,3.0,2.0,1.0,1.0,3.0,-1.0,valid,jirasoftware_filtered
JSW-4877,TISTUD-7942,8.0,3.0,1.0,5.0,3.0,1.0,valid,jirasoftware_filtered
JSW-4888,TESB-7631,13.0,3.0,1.0,8.0,1.0,1.0,valid,jirasoftware_filtered
JSW-4906,TISTUD-4376,3.0,5.0,-1.0,2.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-4910,XD-3013,8.0,3.0,1.0,8.0,2.0,1.0,valid,jirasoftware_filtered
JSW-4911,TDQ-11599,8.0,5.0,1.0,5.0,2.0,1.0,valid,jirasoftware_filtered
JSW-4913,DURACLOUD-271,8.0,3.0,1.0,20.0,1.0,1.0,valid,jirasoftware_filtered
JSW-4914,DM-3012,5.0,8.0,-1.0,8.0,20.0,-1.0,valid,jirasoftware_filtered
JSW-4915,MDL-39954,5.0,5.0,0.0,13.0,40.0,-1.0,tie,jirasoftware_filtered
JSW-4916,TISTUD-5587,8.0,1.0,1.0,8.0,2.0,1.0,valid,jirasoftware_filtered
JSW-4919,XD-329,3.0,3.0,0.0,13.0,3.0,1.0,tie,jirasoftware_filtered
JSW-4920,APSTUD-4313,3.0,5.0,-1.0,5.0,20.0,-1.0,valid,jirasoftware_filtered
JSW-4922,XD-1402,5.0,5.0,0.0,8.0,4.0,1.0,tie,jirasoftware_filtered
JSW-4966,DM-2720,3.0,3.0,0.0,5.0,1.0,1.0,tie,jirasoftware_filtered
JSW-4967,BAM-5142,5.0,1.0,1.0,3.0,1.0,1.0,valid,jirasoftware_filtered
JSW-4970,XD-2289,3.0,5.0,-1.0,3.0,8.0,-1.0,valid,jirasoftware_filtered
JSW-4971,DM-5699,5.0,8.0,-1.0,8.0,4.0,1.0,valid,jirasoftware_filtered
JSW-4972,XD-3712,5.0,5.0,0.0,20.0,1.0,1.0,tie,jirasoftware_filtered
JSW-5004,DM-6621,5.0,5.0,0.0,3.0,4.0,-1.0,tie,jirasoftware_filtered
JSW-5011,TIMOB-23385,5.0,5.0,0.0,1.0,5.0,-1.0,tie,jirasoftware_filtered
JSW-5039,CLOV-1109,8.0,3.0,1.0,1.0,2.0,-1.0,valid,jirasoftware_filtered
JSW-5069,XD-2066,3.0,5.0,-1.0,8.0,5.0,1.0,valid,jirasoftware_filtered
JSW-5072,XD-350,3.0,5.0,-1.0,5.0,4.0,1.0,valid,jirasoftware_filtered
JSW-5077,DM-4062,3.0,5.0,-1.0,3.0,1.0,1.0,valid,jirasoftware_filtered
JSW-5085,STUDIO-3834,5.0,5.0,0.0,8.0,5.0,1.0,tie,jirasoftware_filtered
JSW-5087,DM-5171,3.0,8.0,-1.0,5.0,45.0,-1.0,valid,jirasoftware_filtered
JSW-5089,DM-4391,3.0,2.0,1.0,5.0,1.0,1.0,valid,jirasoftware_filtered
JSW-5090,XD-3334,1.0,5.0,-1.0,2.0,5.0,-1.0,valid,jirasoftware_filtered
JSW-5094,DM-654,2.0,8.0,-1.0,8.0,4.0,1.0,valid,jirasoftware_filtered
JSW-5106,XD-3538,3.0,5.0,-1.0,3.0,2.0,1.0,valid,jirasoftware_filtered
JSW-5107,XD-3153,5.0,3.0,1.0,5.0,1.0,1.0,valid,jirasoftware_filtered
JSW-5115,XD-843,5.0,34.0,-1.0,8.0,20.0,-1.0,valid,jirasoftware_filtered
JSW-5118,DM-2124,5.0,13.0,-1.0,2.0,60.0,-1.0,valid,jirasoftware_filtered
JSW-5153,DM-5553,5.0,3.0,1.0,13.0,8.0,1.0,valid,jirasoftware_filtered
JSW-5193,TISTUD-2582,2.0,5.0,-1.0,2.0,5.0,-1.0,valid,jirasoftware_filtered
JSW-5194,TESB-17237,3.0,5.0,-1.0,2.0,3.0,-1.0,valid,jirasoftware_filtered
JSW-5195,DM-3167,3.0,5.0,-1.0,2.0,5.0,-1.0,valid,jirasoftware_filtered
JSW-5214,BAM-4724,5.0,2.0,1.0,3.0,2.0,1.0,valid,jirasoftware_filtered
JSW-5215,TISTUD-1414,3.0,5.0,-1.0,2.0,20.0,-1.0,valid,jirasoftware_filtered
JSW-5216,TISTUD-809,1.0,3.0,-1.0,2.0,1.0,1.0,valid,jirasoftware_filtered
JSW-5218,DM-6898,8.0,3.0,1.0,8.0,2.0,1.0,valid,jirasoftware_filtered
JSW-5219,TDQ-3617,5.0,3.0,1.0,5.0,8.0,-1.0,valid,jirasoftware_filtered
